# Complete USDA Foundation Foods Nutrient Analysis
# Generated from scanning the entire dataset
# Total unique nutrients found: 227
# Total foods analyzed: 65

## All Nutrients (sorted by frequency)
Format: Nutrient Name | Frequency | Example Foods
================================================================================

PUFA 20:3 n-9 | 40 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Cryptoxanthin, beta | 38 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Carotene, alpha | 38 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Carotene, beta | 37 foods | Hummus, commercial | Nuts, almonds, dry roasted, with salt added | Kale, raw
Lycopene | 36 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
MUFA 20:1 | 34 foods | Onion rings, breaded, par fried, frozen, prepared, heated in oven | Cheese, parmesan, grated | Cheese, pasteurized process, American, vitamin D fortified
Total dietary fiber (AOAC 2011.25) | 34 foods | Onions, red, raw | Onions, yellow, raw | Flour, soy, defatted
Carbohydrate, by summation | 32 foods | Hummus, commercial | Onion rings, breaded, par fried, frozen, prepared, heated in oven | Peaches, yellow, raw
Lutein + zeaxanthin | 29 foods | Hummus, commercial | Nuts, almonds, dry roasted, with salt added | Kale, raw
MUFA 22:1 n-9 | 28 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Choline, total | 28 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Choline, from glycerophosphocholine | 28 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Betaine | 28 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Choline, from sphingomyelin | 28 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Choline, free | 28 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Choline, from phosphotidyl choline | 28 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
